absolutely	Maximizer	adv
barely	Negation	adv
big	Intensifier	adj
cease	Negation	v
completely	Maximizer	adv
dead	Maximizer	adv
decidedly	Maximizer	adv
decrease	Mitigator	v
deeply	Intensifier	adv
definitely	Maximizer	adv
diminish	Mitigator	v
enormously	Intensifier	adv
enough	Mitigator	adv
entirely	Maximizer	adv
extremely	Maximizer	adv
few	Minimizer	adv
fewer	Mitigator	adv
fully	Maximizer	adv
greatly	Intensifier	adv
hardly	Negation	adv
highly	Intensifier	adv
hugely	Intensifier	adv
intensely	Intensifier	adv
kinda	Mitigator	adv
less	Mitigator	adv
lessen	Mitigator	v
little	Minimizer	adv
many	Intensifier	adj
massive	Intensifier	adj
minimal	Minimizer	adj
more	Intensifier	adv
most	Intensifier	adv
much	Intensifier	adv
neither	Negation	mod
no	Negation	mod
non	Negation	mod
not	Negation	mod
nothing	Negation	adv
n't	Negation	mod
overcome	Mitigator	v
partially	Mitigator	adv
partly	Mitigator	adv
perfectly	Maximizer	adv
possibly	Mitigator	adv
prevent	Negation	v
profoundly	Intensifier	adv
quite	Mitigator	adv
rarely	Negation	adv
rather	Mitigator	adv
reduce	Mitigator	v
relieve	Mitigator	v
scarcely	Minimizer	adv
seldom	Negation	adv
severely	Intensifier	adv
slight	Mitigator	adj
slightly	Mitigator	adv
small	Mitigator	adj
so	Intensifier	adv
somewhat	Mitigator	adv
soundly	Maximizer	adv
staggeringly	Intensifier	adv
stop	Negation	v
strong	Intensifier	adj
strongly	Intensifier	adv
sufficiently	Mitigator	adv
super	Maximizer	adj
terribly	Intensifier	adv
thoroughly	Maximizer	adv
totally	Maximizer	adv
tremendously	Intensifier	adv
unlikely	Negation	adv
utterly	Maximizer	adv
very	Maximizer	adv
violently	Intensifier	adv
virtually	Mitigator	adv
wholly	Maximizer	adv
